Title,Poet,era,cap_rate,punct_rate,colon_density,concrete_abstract_ratio,adv_verb_ratio,rhyme_rate,archaic_density,uses_rhyme,rhyme_rate_given_uses,uses_colons,colon_density_given_uses,caps_all,cap_rate_given_not_all,high_punct,punct_rate_given_not_all,uses_archaism,archaic_density_given_uses,era_3class
"
                    Madrigal: ""Like the Idalian queen""
                ",William Drummond of Hawthornden,Pre-1800,1.0,0.8461538461538461,1.0869565217391304,0.5769230769230769,0.0625,0.3125,0.0,1,0.3125,1,1.0869565217391304,1,,0,0.8461538461538461,0,,Pre-1800
"
                    Chernobyl Year﻿
                ",Jehanne Dubrow,Post-1900,1.0,0.75,0.0,0.5,0.08,0.2,0.0,1,0.2,0,,1,,0,0.75,0,,Post-1900
"
                    War Mothers
                ",Ella Wheeler Wilcox,1800-1900,0.96875,0.65625,0.7858546168958742,0.256544502617801,0.2596153846153846,0.1311475409836065,0.3868471953578337,1,0.1311475409836065,1,0.7858546168958742,1,,0,0.65625,1,0.3868471953578337,1800-1900
"
                    The Maldive Shark
                ",Herman Melville,1800-1900,1.0,0.8125,1.7857142857142856,0.4,0.4166666666666667,0.1379310344827586,0.0,1,0.1379310344827586,1,1.7857142857142856,1,,0,0.8125,0,,1800-1900
"
                    Buried at Springs
                ",James Schuyler,Post-1900,0.1384615384615384,0.1846153846153846,0.5813953488372093,0.5283018867924528,0.4411764705882353,0.0,0.0,0,,1,0.5813953488372093,0,0.1384615384615384,0,0.1846153846153846,0,,Post-1900
"
                    [lady in brown] ""de library waz right down from de trolly tracks""
                ",Ntozake Shange,Post-1900,0.2748538011695906,0.0175438596491228,0.0,0.872,0.3424657534246575,0.0109890109890109,0.1262626262626262,1,0.0109890109890109,0,,0,0.2748538011695906,0,0.0175438596491228,1,0.1262626262626262,Post-1900
"
                    The Student
                ",Dorianne Laux,Post-1900,0.081081081081081,0.3513513513513513,0.6389776357827476,0.5853658536585366,0.1147540983606557,0.0,0.0,0,,1,0.6389776357827476,0,0.081081081081081,0,0.3513513513513513,0,,Post-1900
"
                    Backwards
                ",Warsan Shire,Post-1900,0.64,0.92,0.3484320557491289,1.206896551724138,0.3968253968253968,0.0,0.0,0,,1,0.3484320557491289,0,0.64,1,,0,,Post-1900
"
                    A Sequence of Sonnets on the Death of Robert Browning
                ",Algernon Charles Swinburne,1800-1900,0.9838709677419356,0.532258064516129,0.9445100354191264,0.3037974683544304,0.2769230769230769,0.2666666666666666,3.150525087514586,1,0.2666666666666666,1,0.9445100354191264,1,,0,0.532258064516129,1,3.150525087514586,1800-1900
"
                    Whereof the Gift Is Small
                ",Maxine Kumin,Post-1900,0.4,0.8,0.0,0.7692307692307693,0.2,0.0,0.0,0,,0,,0,0.4,0,0.8,0,,Post-1900
